################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  4.4792399050972280E+00 a       314     0    20     1    10
 -4.2524804222030150E+00 a       315     0    20     1    11
 -4.0332574989032437E+01 a       316     0    20     1    12
  2.0632003569551490E+01 a       317     0    20     1    13
 -4.6757223572195905E+01 a       318     0    20     1    14
 -1.5962492795470530E+02 a       319     0    20     1    15
  9.0200784693940278E+01 a       320     0    20     1    16
 -4.6519270996074766E+01 a       321     0    21     1     1
 -7.3458554435160677E+00 a       322     0    21     1     2
  1.4411054980281627E+01 a       323     0    21     1     3
  1.0275749397018630E+02 a       324     0    21     1     4
  2.2263012084766995E+01 a       325     0    21     1     5
  1.7590345246213364E+01 a       326     0    21     1     6
 -1.9439306176541277E+02 a       327     0    21     1     7
  2.4357730440644566E+01 a       328     0    21     1     8
  2.4180487832611856E+01 a       329     0    21     1     9
  5.6194066002215727E+01 a       330     0    21     1    10
  2.0288564506709759E+00 a       331     0    21     1    11
 -7.0292557191574181E+00 a       332     0    21     1    12
 -9.5073720983675415E+01 a       333     0    21     1    13
  7.4049771259440202E+00 a       334     0    21     1    14
 -4.6353530014845965E+01 a       335     0    21     1    15
  4.4132933849765436E+01 a       336     0    21     1    16
  1.5879884084784736E+01 a       337     0    22     1     1
 -1.2315633413995540E+01 a       338     0    22     1     2
 -2.7679530554956287E+01 a       339     0    22     1     3
  7.8775608705854570E+00 a       340     0    22     1     4
 -3.6287663638405667E+00 a       341     0    22     1     5
 -3.2817750779828948E+01 a       342     0    22     1     6
 -2.1662512727278159E+01 a       343     0    22     1     7
  6.6794290994306227E+00 a       344     0    22     1     8
 -1.3426143559414541E+01 a       345     0    22     1     9
  6.9762453007385048E+00 a       346     0    22     1    10
 -2.8032356750789308E+01 a       347     0    22     1    11
  1.6100513537929849E+01 a       348     0    22     1    12
 -3.1044877747187574E+00 a       349     0    22     1    13
  1.9856512557848636E+00 a       350     0    22     1    14
 -4.7190767512970000E+00 a       351     0    22     1    15
 -8.2007526636799231E+00 a       352     0    22     1    16
