################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.0523873717685486E+00 a       440     0    28     1     8
  3.2072977258255078E+00 a       441     0    28     1     9
 -3.8888255660712923E+00 a       442     0    28     1    10
 -4.0928255044519712E+00 a       443     0    28     1    11
  2.5268982432781759E+00 a       444     0    28     1    12
 -5.3259801445842747E-02 a       445     0    28     1    13
 -5.5440710166048781E+00 a       446     0    28     1    14
  1.2265197503379697E+00 a       447     0    28     1    15
 -4.8254839547723405E+00 a       448     0    28     1    16
 -1.1709265499516542E+01 a       449     0    29     1     1
 -1.5129979824768977E+01 a       450     0    29     1     2
  7.4180124464263653E+00 a       451     0    29     1     3
 -3.2526799368810380E+01 a       452     0    29     1     4
  2.9641041744188264E+01 a       453     0    29     1     5
  7.7881973164557756E+00 a       454     0    29     1     6
  2.3809638337995537E+01 a       455     0    29     1     7
  4.2891924895851631E+01 a       456     0    29     1     8
 -7.6659467851919976E+00 a       457     0    29     1     9
  1.8373584068415337E+01 a       458     0    29     1    10
 -3.4803333716630576E+01 a       459     0    29     1    11
 -2.9623672789345353E+01 a       460     0    29     1    12
 -1.5878798781539105E+01 a       461     0    29     1    13
 -1.8549516257813206E+01 a       462     0    29     1    14
  6.5592132219918167E+00 a       463     0    29     1    15
 -1.0514068415145248E+01 a       464     0    29     1    16
 -9.9290645156996451E+00 a       465     0    30     1     1
  1.7806160980404638E+01 a       466     0    30     1     2
 -3.1171323598706110E+01 a       467     0    30     1     3
 -6.6275698797189420E+01 a       468     0    30     1     4
  2.5446578752105776E+01 a       469     0    30     1     5
  3.7699942008257736E+01 a       470     0    30     1     6
 -6.6523715955661746E+00 a       471     0    30     1     7
